ISO,Country,Data source,Sector,Gas,Unit,Year,Value
IDN,Indonesia,Climate Watch,Transportation,CH4,MtCO₂e,2016,0.91
IDN,Indonesia,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,2016,0.57
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,2016,0.33
IDN,Indonesia,Climate Watch,Industrial Processes,N2O,MtCO₂e,2016,0.41
IDN,Indonesia,Climate Watch,Electricity/Heat,CH4,MtCO₂e,2016,0.08
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,2015,573.01
IDN,Indonesia,Climate Watch,Energy,CO2,MtCO₂e,2015,464.49
IDN,Indonesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2015,196.26
IDN,Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2015,195.51
IDN,Indonesia,Climate Watch,Waste,All GHG,MtCO₂e,2015,127.28
IDN,Indonesia,Climate Watch,Waste,CH4,MtCO₂e,2015,124.68
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2015,102.2
IDN,Indonesia,Climate Watch,Transportation,All GHG,MtCO₂e,2015,135.56
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2015,101.27
IDN,Indonesia,Climate Watch,Transportation,CO2,MtCO₂e,2015,132.03
IDN,Indonesia,Climate Watch,Energy,CH4,MtCO₂e,2015,102.67
IDN,Indonesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2015,30.21
IDN,Indonesia,Climate Watch,Industrial Processes,CO2,MtCO₂e,2015,24.56
IDN,Indonesia,Climate Watch,Energy,N2O,MtCO₂e,2015,5.84
IDN,Indonesia,Climate Watch,Transportation,N2O,MtCO₂e,2015,2.68
IDN,Indonesia,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2015,2.63
IDN,Indonesia,Climate Watch,Waste,N2O,MtCO₂e,2015,2.6
IDN,Indonesia,Climate Watch,Industrial Processes,CH4,MtCO₂e,2015,2.61
IDN,Indonesia,Climate Watch,Electricity/Heat,N2O,MtCO₂e,2015,0.67
IDN,Indonesia,Climate Watch,Transportation,CH4,MtCO₂e,2015,0.85
IDN,Indonesia,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,2015,0.59
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,2015,0.34
IDN,Indonesia,Climate Watch,Industrial Processes,N2O,MtCO₂e,2015,0.41
IDN,Indonesia,Climate Watch,Electricity/Heat,CH4,MtCO₂e,2015,0.08
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,2014,574.8
IDN,Indonesia,Climate Watch,Energy,CO2,MtCO₂e,2014,459.11
IDN,Indonesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2014,194.49
IDN,Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2014,193.76
IDN,Indonesia,Climate Watch,Waste,All GHG,MtCO₂e,2014,124.76
IDN,Indonesia,Climate Watch,Waste,CH4,MtCO₂e,2014,122.2
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2014,90.42
IDN,Indonesia,Climate Watch,Transportation,All GHG,MtCO₂e,2014,140.35
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2014,89.55
IDN,Indonesia,Climate Watch,Transportation,CO2,MtCO₂e,2014,136.59
IDN,Indonesia,Climate Watch,Energy,CH4,MtCO₂e,2014,109.49
IDN,Indonesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2014,31.12
IDN,Indonesia,Climate Watch,Industrial Processes,CO2,MtCO₂e,2014,25.53
IDN,Indonesia,Climate Watch,Energy,N2O,MtCO₂e,2014,6.2
IDN,Indonesia,Climate Watch,Transportation,N2O,MtCO₂e,2014,2.9
IDN,Indonesia,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2014,2.58
IDN,Indonesia,Climate Watch,Waste,N2O,MtCO₂e,2014,2.56
IDN,Indonesia,Climate Watch,Industrial Processes,CH4,MtCO₂e,2014,2.61
IDN,Indonesia,Climate Watch,Electricity/Heat,N2O,MtCO₂e,2014,0.65
IDN,Indonesia,Climate Watch,Transportation,CH4,MtCO₂e,2014,0.86
IDN,Indonesia,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,2014,0.55
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,2014,0.32
IDN,Indonesia,Climate Watch,Industrial Processes,N2O,MtCO₂e,2014,0.4
IDN,Indonesia,Climate Watch,Electricity/Heat,CH4,MtCO₂e,2014,0.08
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,2013,541.02
IDN,Indonesia,Climate Watch,Energy,CO2,MtCO₂e,2013,423.62
IDN,Indonesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2013,168.81
IDN,Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2013,168.2
IDN,Indonesia,Climate Watch,Waste,All GHG,MtCO₂e,2013,120.06
IDN,Indonesia,Climate Watch,Waste,CH4,MtCO₂e,2013,117.54
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2013,80.18
IDN,Indonesia,Climate Watch,Transportation,All GHG,MtCO₂e,2013,139.75
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2013,79.38
IDN,Indonesia,Climate Watch,Transportation,CO2,MtCO₂e,2013,136.12
IDN,Indonesia,Climate Watch,Energy,CH4,MtCO₂e,2013,111.38
IDN,Indonesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2013,30.33
IDN,Indonesia,Climate Watch,Industrial Processes,CO2,MtCO₂e,2013,24.78
IDN,Indonesia,Climate Watch,Energy,N2O,MtCO₂e,2013,6.02
IDN,Indonesia,Climate Watch,Transportation,N2O,MtCO₂e,2013,2.78
IDN,Indonesia,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2013,2.53
IDN,Indonesia,Climate Watch,Waste,N2O,MtCO₂e,2013,2.52
IDN,Indonesia,Climate Watch,Industrial Processes,CH4,MtCO₂e,2013,2.61
IDN,Indonesia,Climate Watch,Electricity/Heat,N2O,MtCO₂e,2013,0.54
IDN,Indonesia,Climate Watch,Transportation,CH4,MtCO₂e,2013,0.84
IDN,Indonesia,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,2013,0.5
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,2013,0.3
IDN,Indonesia,Climate Watch,Industrial Processes,N2O,MtCO₂e,2013,0.4
IDN,Indonesia,Climate Watch,Electricity/Heat,CH4,MtCO₂e,2013,0.07
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,2012,574.98
IDN,Indonesia,Climate Watch,Energy,CO2,MtCO₂e,2012,458.5
IDN,Indonesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2012,169.41
IDN,Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2012,168.79
IDN,Indonesia,Climate Watch,Waste,All GHG,MtCO₂e,2012,115.36
IDN,Indonesia,Climate Watch,Waste,CH4,MtCO₂e,2012,112.88
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2012,120.47
IDN,Indonesia,Climate Watch,Transportation,All GHG,MtCO₂e,2012,132.99
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2012,119.42
IDN,Indonesia,Climate Watch,Transportation,CO2,MtCO₂e,2012,129.62
IDN,Indonesia,Climate Watch,Energy,CH4,MtCO₂e,2012,110.35
IDN,Indonesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2012,28.79
IDN,Indonesia,Climate Watch,Industrial Processes,CO2,MtCO₂e,2012,23.29
IDN,Indonesia,Climate Watch,Energy,N2O,MtCO₂e,2012,6.13
IDN,Indonesia,Climate Watch,Transportation,N2O,MtCO₂e,2012,2.58
IDN,Indonesia,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2012,2.49
IDN,Indonesia,Climate Watch,Waste,N2O,MtCO₂e,2012,2.48
IDN,Indonesia,Climate Watch,Industrial Processes,CH4,MtCO₂e,2012,2.61
IDN,Indonesia,Climate Watch,Electricity/Heat,N2O,MtCO₂e,2012,0.55
IDN,Indonesia,Climate Watch,Transportation,CH4,MtCO₂e,2012,0.79
IDN,Indonesia,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,2012,0.66
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,2012,0.38
IDN,Indonesia,Climate Watch,Industrial Processes,N2O,MtCO₂e,2012,0.4
IDN,Indonesia,Climate Watch,Electricity/Heat,CH4,MtCO₂e,2012,0.08
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,2011,569.12
IDN,Indonesia,Climate Watch,Energy,CO2,MtCO₂e,2011,454.7
IDN,Indonesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2011,176.67
IDN,Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2011,176.03
IDN,Indonesia,Climate Watch,Waste,All GHG,MtCO₂e,2011,121.81
IDN,Indonesia,Climate Watch,Waste,CH4,MtCO₂e,2011,119.38
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2011,137.4
IDN,Indonesia,Climate Watch,Transportation,All GHG,MtCO₂e,2011,111.35
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2011,136.21
IDN,Indonesia,Climate Watch,Transportation,CO2,MtCO₂e,2011,108.5
IDN,Indonesia,Climate Watch,Energy,CH4,MtCO₂e,2011,108.48
IDN,Indonesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2011,26.53
IDN,Indonesia,Climate Watch,Industrial Processes,CO2,MtCO₂e,2011,21.1
IDN,Indonesia,Climate Watch,Energy,N2O,MtCO₂e,2011,5.94
IDN,Indonesia,Climate Watch,Transportation,N2O,MtCO₂e,2011,2.17
IDN,Indonesia,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2011,2.44
IDN,Indonesia,Climate Watch,Waste,N2O,MtCO₂e,2011,2.43
IDN,Indonesia,Climate Watch,Industrial Processes,CH4,MtCO₂e,2011,2.61
IDN,Indonesia,Climate Watch,Electricity/Heat,N2O,MtCO₂e,2011,0.56
IDN,Indonesia,Climate Watch,Transportation,CH4,MtCO₂e,2011,0.69
IDN,Indonesia,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,2011,0.75
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,2011,0.44
IDN,Indonesia,Climate Watch,Industrial Processes,N2O,MtCO₂e,2011,0.38
IDN,Indonesia,Climate Watch,Electricity/Heat,CH4,MtCO₂e,2011,0.08
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,2010,496.93
IDN,Indonesia,Climate Watch,Energy,CO2,MtCO₂e,2010,396.08
IDN,Indonesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2010,149.51
IDN,Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2010,149.0
IDN,Indonesia,Climate Watch,Waste,All GHG,MtCO₂e,2010,128.27
IDN,Indonesia,Climate Watch,Waste,CH4,MtCO₂e,2010,125.87
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2010,127.32
IDN,Indonesia,Climate Watch,Transportation,All GHG,MtCO₂e,2010,91.53
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2010,126.17
IDN,Indonesia,Climate Watch,Transportation,CO2,MtCO₂e,2010,89.11
IDN,Indonesia,Climate Watch,Energy,CH4,MtCO₂e,2010,95.35
IDN,Indonesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2010,24.82
IDN,Indonesia,Climate Watch,Industrial Processes,CO2,MtCO₂e,2010,19.46
IDN,Indonesia,Climate Watch,Energy,N2O,MtCO₂e,2010,5.5
IDN,Indonesia,Climate Watch,Transportation,N2O,MtCO₂e,2010,1.81
IDN,Indonesia,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2010,2.39
IDN,Indonesia,Climate Watch,Waste,N2O,MtCO₂e,2010,2.39
IDN,Indonesia,Climate Watch,Industrial Processes,CH4,MtCO₂e,2010,2.61
IDN,Indonesia,Climate Watch,Electricity/Heat,N2O,MtCO₂e,2010,0.44
IDN,Indonesia,Climate Watch,Transportation,CH4,MtCO₂e,2010,0.61
IDN,Indonesia,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,2010,0.72
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,2010,0.42
IDN,Indonesia,Climate Watch,Industrial Processes,N2O,MtCO₂e,2010,0.36
IDN,Indonesia,Climate Watch,Electricity/Heat,CH4,MtCO₂e,2010,0.07
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,2009,465.51
IDN,Indonesia,Climate Watch,Energy,CO2,MtCO₂e,2009,371.64
IDN,Indonesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2009,153.78
IDN,Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2009,153.25
IDN,Indonesia,Climate Watch,Waste,All GHG,MtCO₂e,2009,134.72
IDN,Indonesia,Climate Watch,Waste,CH4,MtCO₂e,2009,132.37
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2009,101.21
IDN,Indonesia,Climate Watch,Transportation,All GHG,MtCO₂e,2009,83.89
